identifier,location_id
023a883ddaa4d1adda663bbb56a81dbfda53a65a,120
023c201ee20c01b56469ac0eed48cae4b6243b7f,118
024592d04d43b232f86815b56a95f5bd167cd506,692
024a64938dd42fbcf163fdbbb910ea9d7573d787,441
025d959b5dd6338fb86d89b33382559a23f7d56f,282
0260dbc0bbf26e31109cde6cc58cc4dfde778f78,468
0263f7291c552ef891e74ca715ac3b9f865ce20c,29
02647a235985c721b6c409b504e3da1cfaafcfbd,550
026867c0594728674585272664da93ad4cb04aa5,226
0269d98e5f115d7bd455ee5ded37f663e7750ccd,482
026b080cf0d958e6ea262074e0b73c980811a615,482
026fe4b731f3a2d241e683de765160b703b8240e,87
02795f3ece07a3667550bfd98fd849082697458a,21
027dd7ba83f07d2b807388aed64ddb6fc9900c39,202
027ef603f1a492a548f6e24c2f7649d48f54cf04,183
0282c4ca5572fa2d0dd358c6690c366e896be87b,168
028510035014eb781ed218408d91a9145a2c2600,46
0287ef9756b69dcab8e8c12050ccfba0b2ca14be,202
0293dab92f11032fc9efec0463929d3046635051,482
0298be22f66edc3f394bb5cd12d84bba97c9d573,344
029c2a903d0e836b61e2c8cbfdbcb7cc482edaca,408
029d574cdf950079f285ef6cba9409c9dac17310,168
029d9e0a81804358f0869647a3c8ddd6cd75b5d4,96
02a16b392b3766ba0a1f24f23960e2da2e247772,554
02a44d62615e292317faa691bbd704df92ddc89f,514
02a6bed0101010abdd4151f5f2588d9b68506978,476
02a909d2704438291f45416a7b795d9ddcfc113d,544
02aff8e2ac085550ef76012b08200d980d0a0c26,56
02b54905511131d3a6a0cf23aeadf8caa1bccf20,494
02b5f435a5c35aa59855b2df150aa586c124ae14,54
02b6640c479be7ca15b050180d24ee4220b5b512,331
02c4728d18d70bd67fc2f7aeaa0dbfba630e47f8,202
02c67f14cfd10155c699e932b1225d96fb3cc732,417
02c7419f7dde4e1bd5c7f1917366f06ae64d5ac8,523
02c9fcedd965af9070c8a79431d584a13d073495,638
02d365f9f7dc2f590066e45c726879adbecca293,332
02db724dedf4ec0313f17fa25ac9fc22bf507a74,119
02dd2468f3cdef1890732075fc5bd190e302b199,491
02dff1e17c403d330d3d0986e658a982d8bcfc81,552
02e561f78e560e0ca70fb56f76e86427d35b1019,692
02e7b75440d559a949c8db5fffe5df4ecc4249e4,351
02ecb37e33fedca171c81e0ba4dacf7707392236,627
02fa2df1ed8154fdd79de84f54a9bc959619b7ea,258
02ffb46dc162c7198d237e79067237be9154ad73,460
02ffc4f51defa90b51942360dc9d7069337089fa,765
