identifier,model,country,province_state,CityRev,Latitude,Longitude,readable_city,Selected_Source,building_type_pre,floor_area_sqft,number_floors,building_age_yrs,number_occupants,allow_comp_with_aux,has_electric,has_heatpump,number_remote_sensors,ASHRAE,CA_Title24_Zone,geometry,GEOID_place,NAME_place,LSAD_place,GEOID_county,NAME_county,STATEFP_county
a8724b3d82c3e6639d5cfe032cf30cd647283da4,ecobee3Lite,US,CA,San Francisco City,37.727239,-123.032229,Yes,census.gov,Condominium,1580,2,0,0,False,False,False,0,3C,3,POINT (-123.032229 37.727239),667000.0,San Francisco,25.0,6075,San Francisco,6
a87d609ccb2b3d5330569e3056bb0cb95a04f275,ecobee4,US,CA,Oceanside City,33.224601,-117.306291,Yes,census.gov,Detached,2500,2,10,0,False,False,False,"2, 4",3B,7,POINT (-117.306291 33.224601),653322.0,Oceanside,25.0,6073,San Diego,6
a894eb749525d2e988363b2386fe58e69081098a,ecobee3Lite,US,CA,Imperial City,32.838801,-115.572012,Yes,census.gov,Null,0,0,0,0,True,False,False,"1, 2",2B,15,POINT (-115.572012 32.838801),636280.0,Imperial,25.0,6025,Imperial,6
a89e3b20e567e1305c1440c5f31b2e2fd00096da,ESTWVC,US,CA,Poway City,32.987677,-117.021814,Yes,census.gov,Detached,1501,1,40,0,True,False,False,"1, 2",3B,10,POINT (-117.021814 32.987677),658520.0,Poway,25.0,6073,San Diego,6
a8cf98a185d08cd17a3d98c98e1a8ad49e3110ac,ecobee3Lite,US,CA,Atascadero City,35.485718,-120.687942,Yes,census.gov,Null,0,0,0,0,True,False,False,0,3C,4,POINT (-120.687942 35.485718),603064.0,Atascadero,25.0,6079,San Luis Obispo,6
a950bfc5140dcd1e846c2c47592bd8fb71169fa8,undefined,US,CA,Moorpark City,34.285942,-118.87704,Yes,census.gov,Detached,"1501, 2000",2,42,0,True,False,False,"1, 2",3C,9,POINT (-118.87704 34.285942),649138.0,Moorpark,25.0,6111,Ventura,6
a95fab11b5c1b7bc7b4a3201a551ee6eb22a3983,ecobee3,US,CA,Corte Madera Town,37.931846,-122.507738,Yes,census.gov,Detached,1500,1,65,2,False,False,False,"1, 2",3C,2,POINT (-122.507738 37.931846),616462.0,Corte Madera,43.0,6041,Marin,6
a96b67995bcd995d30b7222121dca3c63b787281,ecobee4,US,CA,Pleasanton City,37.667185,-121.88123,Yes,census.gov,Multi-plex,1500,2,47,0,True,False,False,"0, 1, 2",3C,12,POINT (-121.88123 37.667185),657792.0,Pleasanton,25.0,6001,Alameda,6
a96ca55ce372483a4228c827652924f4ae3c93ba,ecobee3Lite,US,CA,San Gabriel City,34.094636,-118.098469,Yes,census.gov,Detached,2500,2,10,0,False,False,False,0,3B,9,POINT (-118.098469 34.094636),667042.0,San Gabriel,25.0,6037,Los Angeles,6
a975d198f68f7d9e3a2b5940e42661957fe9b867,ecobee3Lite,US,CA,Rancho Palos Verdes City,33.738517,-118.369685,Yes,census.gov,Detached,3500,2,40,4,False,False,False,0,3B,6,POINT (-118.369685 33.738517),659514.0,Rancho Palos Verdes,25.0,6037,Los Angeles,6
a9861a2d98acda252d13433e2a8bf40fa961ca1f,ecobee4,US,CA,Grass Valley City,39.220305,-121.052654,Yes,census.gov,Detached,3500,2,15,2,True,False,False,"1, 2",5B,11,POINT (-121.052654 39.220305),630798.0,Grass Valley,25.0,6057,Nevada,6
a9c6dddfa91434df4ccad7a5e58f24e348677e1c,ecobee4,US,CA,Ladera Ranch CDP,33.549146,-117.641741,Yes,census.gov,Detached,4500,2,10,0,False,False,False,0,3B,8,POINT (-117.641741 33.549146),639114.0,Ladera Ranch,57.0,6059,Orange,6
a9d692015c245c7e8a7e29188c77b82849bfafa8,undefined,US,CA,Truckee Town,39.350548,-120.193943,Yes,census.gov,Detached,500,1,120,1,True,False,False,0,5B,16,POINT (-120.193943 39.350548),680588.0,Truckee,43.0,6057,Nevada,6
a9dc50045375850db7da0d9a5c7a22eedf2c3cdd,SmartSi,US,CA,San Diego City,32.830391,-117.120923,Yes,census.gov,Detached,3000,2,25,0,False,False,False,0,3B,7,POINT (-117.120923 32.830391),666000.0,San Diego,25.0,6073,San Diego,6
a9dd9d8b2b862884d329096b0a352c8c68655f86,undefined,US,CA,Walnut Creek City,37.902666,-122.040479,Yes,census.gov,Detached,1501,2,12,0,True,False,False,"0, 1, 2",3B,12,POINT (-122.040479 37.902666),683346.0,Walnut Creek,25.0,6013,Contra Costa,6
aa04cfb07749c1e77dabc6b3a4e179f5a70d7ed0,undefined,US,CA,Santa Rosa City,38.445824,-122.706181,Yes,census.gov,Other,1001,1,72,0,True,False,False,2,3C,2,POINT (-122.706181 38.445824),670098.0,Santa Rosa,25.0,6097,Sonoma,6
aa1ab8a409b8e4117d66649b722c9e47c87fe9cd,ESTWVC,US,CA,San Jose City,37.296011,-121.814552,Yes,census.gov,Detached,1001,1,49,0,True,False,False,"1, 2",3C,4,POINT (-121.814552 37.296011),668000.0,San Jose,25.0,6085,Santa Clara,6
aa54ff5b0f56156d429e51ce2d4af46004e26874,ecobee3,US,CA,Belmont City,37.514398,-122.294475,Yes,census.gov,Detached,2500,3,45,4,False,False,False,"1, 2",3C,3,POINT (-122.294475 37.514398),605108.0,Belmont,25.0,6081,San Mateo,6
aa748b69886e24bde60206d013813d537fd96dfd,ecobee3,US,CA,San Jose City,37.296011,-121.814552,Yes,census.gov,Detached,1500,1,70,4,False,False,False,"1, 2",3C,4,POINT (-121.814552 37.296011),668000.0,San Jose,25.0,6085,Santa Clara,6
aaa6480af8b7d729d58d808a0e9e9593d6859a88,ecobee4,US,CA,Rancho Dominguez CDP,33.894841,-118.195586,Yes,census.gov,Detached,1500,1,35,3,False,False,False,"1, 2",3B,8,POINT (-118.195586 33.894841),621034.0,East Rancho Dominguez,57.0,6037,Los Angeles,6
ab2a42ec6100aef13886254304ac7074c3e3cc5b,ecobee4,US,CA,Heber CDP,32.732494,-115.529398,Yes,census.gov,Detached,2000,1,10,0,False,False,False,"3, 6",2B,15,POINT (-115.529398 32.732494),633084.0,Heber,57.0,6025,Imperial,6
ab3a9cb01731c2239b2f4f515584d351393a27c6,ecobee3Lite,US,CA,Culver City,34.00582,-118.396781,Yes,census.gov,Null,0,0,0,0,False,False,False,0,3B,8,POINT (-118.396781 34.00582),617568.0,Culver City,25.0,6037,Los Angeles,6
ab5bcb20ec3eff73ad7527c8223f93fb994869b5,ecobee3Lite,US,CA,Elk Grove City,38.414621,-121.384961,Yes,census.gov,Other,2500,2,20,5,False,False,False,"2, 4, 5",3B,12,POINT (-121.384961 38.414621),622020.0,Elk Grove,25.0,6067,Sacramento,6
ac6861b63f0fc66bbaf09856aaf9a8d89be4340d,ecobee4,US,CA,West Hills,34.2032325,-118.645476,Yes,photon,Row House,2500,2,50,1,False,False,False,"4, 8",3B,9,POINT (-118.645476 34.2032325),644000.0,Los Angeles,25.0,6037,Los Angeles,6
acbc34117b52c4b338a71f1639e4af68ff9ae53d,ecobee4,US,CA,Folsom City,38.666597,-121.141635,Yes,census.gov,Detached,3000,2,10,0,False,False,False,"2, 4",3B,12,POINT (-121.141635 38.666597),624638.0,Folsom,25.0,6067,Sacramento,6
acef4dc71dd8bd8b994f47471aca33ab72237f7f,ecobee3,US,CA,Stockton City,37.976553,-121.308598,Yes,census.gov,Detached,0,1,0,0,False,False,False,"1, 2",3B,12,POINT (-121.308598 37.976553),675000.0,Stockton,25.0,6077,San Joaquin,6
ad52bdb3e485c0907fc8b8ed74cea25ed5784a91,ecobee3,US,CA,Cameron Park CDP,38.674029,-120.988338,Yes,census.gov,Detached,3500,2,35,4,False,False,True,"11, 22",4B,12,POINT (-120.988338 38.674029),610256.0,Cameron Park,57.0,6017,El Dorado,6
ad675ba5d2eb4ea9c497abb4f9452e33b88c58d2,ecobee3,US,CA,Paso Robles,35.6262618,-120.6901319,Yes,photon,Detached,1001,2,29,0,True,False,False,5,3C,4,POINT (-120.6901319 35.6262618),622300.0,El Paso de Robles (Paso Robles),25.0,6079,San Luis Obispo,6
ad7386bbbceaeffd45c28a3df91cac44f6f7f4bb,ecobee3Lite,US,CA,Folsom City,38.666597,-121.141635,Yes,census.gov,Detached,2500,2,20,0,False,False,False,0,3B,12,POINT (-121.141635 38.666597),624638.0,Folsom,25.0,6067,Sacramento,6
